Work_Experience,Google_Maps_Presence,Google_Maps_Rating,Population_in_Area,Growth_Rate,Raw_Material_Cost,Monthly_Income,Monthly_Expenditure,CF_Rating,Consistency,Risk_Multiplier,Loan_Amount
3,1,3.7,31143,7,192,27529,13858,2,8,0.7,7971.0
15,1,4.8,24579,5,285,32451,21626,4,6,0.87,20740.0
2,1,4.1,27722,11,201,29094,8183,4,6,0.74,8091.0
8,1,4.0,42582,14,288,23250,21695,2,7,0.88,12012.0
5,0,4.9,24850,13,265,32253,22674,5,8,0.88,10725.0
9,0,3.7,34350,10,204,30674,12087,4,6,0.91,14457.0
12,1,3.8,19621,12,165,13929,12126,3,10,0.77,15898.0
7,1,3.6,8631,8,163,27000,23887,3,8,0.88,10830.0
9,0,4.6,10262,17,288,32142,23648,3,5,0.79,14305.0
2,1,4.0,14367,13,165,25021,20107,2,9,0.76,6409.0
6,0,4.7,22669,9,236,25401,14934,3,6,0.86,11629.0
7,1,4.0,4838,13,316,34733,22738,3,8,0.74,12042.0
2,0,3.6,46485,18,123,27167,12408,3,8,0.73,7014.0
11,0,3.6,44427,13,152,17158,11767,5,7,0.85,15063.0
11,0,4.7,3502,18,156,29121,23628,2,7,0.79,16171.0
2,1,3.8,42171,18,237,28095,19124,4,6,0.82,6579.0
14,0,4.7,35990,12,277,16455,24142,2,10,0.81,17793.0
9,0,4.8,35197,14,283,19967,11244,4,6,0.7,14531.0
2,1,3.9,20990,12,167,20312,19984,3,9,0.88,5849.0
8,0,3.5,45481,6,164,14861,23245,4,9,0.89,10580.0
7,0,3.9,13384,6,169,13053,15389,5,7,0.86,10582.0
14,0,4.6,49355,19,123,25026,11816,5,10,0.92,19860.0
15,1,4.5,22073,20,162,30635,18863,5,6,0.7,20596.0
5,0,4.0,14918,13,303,30676,20338,2,6,0.9,9882.0
11,0,3.7,45753,4,120,15843,22608,4,6,0.9,13964.0
6,0,5.0,38474,8,330,17440,7269,3,6,0.9,11852.0
7,0,4.2,24636,9,228,20813,19571,2,9,0.88,11210.0
10,0,4.4,35071,20,192,15930,12790,3,9,0.77,14618.0
15,0,3.5,8529,19,323,30045,9261,3,6,0.7,20417.0
10,0,4.6,45285,19,169,10918,17536,4,8,0.81,13854.0
9,0,4.8,31535,4,120,15798,17033,2,8,0.88,13616.0
4,1,4.1,21634,5,121,28854,11630,5,7,0.75,9762.0
1,0,3.7,10418,10,346,23704,15701,2,7,0.85,5327.0
11,1,4.3,23160,10,340,21655,13495,3,7,0.89,15946.0
7,0,3.8,23309,11,136,11561,21549,2,8,0.86,9733.0
3,0,4.6,32481,16,239,16599,18280,5,7,0.8,7312.0
11,1,4.7,3977,7,341,28211,24425,5,9,0.88,15908.0
10,0,3.9,31420,4,322,13234,17260,3,6,0.88,13336.0
6,1,3.9,33319,8,347,30813,7406,5,6,0.87,12067.0
7,1,3.9,28294,19,314,25653,24633,3,8,0.92,10845.0
6,0,4.1,24546,12,276,28825,13273,2,9,0.8,11517.0
1,0,4.8,15774,14,208,30108,11403,2,9,0.72,7566.0
15,0,3.8,18477,15,132,20642,16287,5,5,0.7,19170.0
8,0,4.6,37264,5,223,11412,8418,2,10,0.89,12788.0
2,1,4.1,9780,7,269,21172,19780,4,6,0.92,6105.0
15,1,4.9,18214,5,296,34782,19450,3,8,0.92,21285.0
7,0,3.5,24085,11,277,15826,10775,5,7,0.72,10867.0
6,1,4.2,44558,14,227,34828,11398,5,5,0.76,12430.0
1,1,3.6,20481,14,280,19570,22777,4,9,0.82,4139.0
9,0,3.7,34431,20,133,14433,16494,2,5,0.88,12427.0
